Student	ID	Homework Assignment #1 (2786783)	Lab #1 (2829219)	Homework Assignment #2 (2786789)	Lab #2 (2786809)	Homework Assignment #3 (2786785)	Lab #3 (2786810)	Homework Assignment #4 (2786784)	Lab #4 (2786811)	Homework Assignment #5 - Quick Answer Portion (2786786)	Homework Assignment #5 - Problem Portion (2786793)	Lab #5 (2856765)	Midterm 1 (2786796)	Homework Assignment #6 (2786791)	Lab #6 (2786812)	Homework Assignment #7 (2786790)	Lab #7 (2786813)	Homework Assignment #8 (2786787)	Midterm 2 (2786797)	Lab #8 (2870743)	Lab #9 - Beam Lab (2786814)	Lab #10 (2786815)	Final Exam (2786798)	Bonus Assignment #9 (2786795)
F42C0	1000128	60	10	60	9	70	9	80	13	21	50	10	66	70	10	60	10	80	76.5	10	10	10	71.5	55
F42C1	1000129	60	10	57.5	10	70	10	80	13	21	50	10	67	70	10	60	10	80	55.25	12	10	10	83.5	33
F42C2	1000130	60	10	60	10	70	10	80	13	21	50	12	75.5	70	10	60	10	80	84.25	10	12	10	67.5	55
F42C3	1000131	60	10	60	10	70	10	80	13	21	50	10	74	70	10	60	9.5	80	64.25	10	9.5	10	78	38
F42C4	1000132	60	0	60	10	70	10	80	13	21	50	10	65	70	10	57.5	10	80	77.5	10	10	10	57.5	16
F42C5	1000133	60	10	60	10	70	10	80	10	21	50	10	78	70	10	60	10	80	77	10	10	10	83.5	38
F42C6	1000134	60	10	60	10	70	10	80	13	21	50	10	42	70	10	60	10	80	53.5	10	10	10	57	55
F42C7	1000135	58.5	10	58	10	67.5	10	80	10	21	50	10	62	70	10	57.5	10	80	64	10	10	10	60.5	31
F42C8	1000136	60	10	60	10	70	10	80	12	21	50	10	88	70	10	60	10	80	108	10	10	10	95	52.5
F42C9	1000137	58	10	60	10	70	11.5	80	13	21	50	11.5	74	70	10	60	10	80	85.5	10	10	10	64	10
F42CA	1000138	12	10	0	10	0	10	13	10	0	0	10	52	0	10	10	10	20	35	10	10	10	32	17
F42CB	1000139	60	10	60	10	70	10	80	13	21	50	10	64	70	10	60	10	80	93	10	10	10	72.5	55
F42CC	1000140	57	10	46.5	10	70	10	66	13	21	50	10	73	56	10	55	10	80	95	10	10	10	69	18.5
F42CD	1000141	60	10	60	10	70	10	80	13	21	50	10	68	70	10	60	10	80	81.5	10	11	10	81.5	55
F42CE	1000142	60	9.5	60	10	70	10	79	8.5	21	50	9.5	74	66	10	60	8	70	89.5	10	10	10	69.5	55
F42CF	1000143	60	10	57	10	70	11.5	79	13	18	50	11.5	68	70	10	60	10	60	98	10	10	10	92.5	33
F42D0	1000144	60	10	60	9	70	9	80	13	21	50	10	35	70	10	60	10	80	61	10	10	10	57	38
F42D1	1000145	60	10	60	10	70	11.5	80	13	21	50	10.5	67	70	9	60	10	80	82.5	8	10	10	61.5	55
F42D2	1000146	60	10	60	10	70	10	80	10	21	50	10	62	70	10	60	10	80	92	10	10	10	67	55
F42D3	1000147	55.5	10	51	10	70	10	69.5	10	21	50	10	73	70	10	60	10	60	94.5	10	10	10	92.5	0
F42D4	1000148	60	10	60	10	70	10	80	13	21	50	10	51.5	70	10	60	10	80	51.5	10	10	10	57	55
F42D5	1000149	60	10	60	10	70	10	80	10	21	50	12	51	70	10	60	10	80	77.5	10	10	10	65.5	10
F42D6	1000150	60	10	60	10	70	10	80	15	21	50	10	53.5	70	10	60	10	80	79	10	11	10	68.5	55
F42D7	1000151	60	10	60	10	70	10	80	13	21	50	10	90.5	70	10	60	10	80	99.25	10	10	10	89.5	55
F42D8	1000152	60	10	60	10	70	10	80	13	21	50	10	79	70	12	60	10	80	61.5	10	10	10	82.5	55
F42D9	1000153	60	10	51	10	70	10	76	10	21	45	10	55	66	10	27	10	80	76	10	10	10	72	5
F42DA	1000154	40	10	46.5	10	38	11	66	11	21	34.5	12	55	65	9	51	6	53	67.25	8	10	10	65.5	5
F42DB	1000155	60	10	60	10	70	10	80	10	21	50	10	75.5	70	10	60	10	80	75	10	10	10	77.5	44
F42DC	1000156	60	10	60	10	70	10	80	13	21	50	10	82	70	10	60	10	80	97	10	10	10	96	55
F42DD	1000157	60	10	60	11	70	12	80	13	21	50	10	67	70	10	60	10	80	84	10	10	10	88.5	55
F42DE	1000158	60	10	54	10	70	10	80	13	21	50	10	65	70	10	55	10	80	79	10	10	10	57.5	33
F42DF	1000159	60	9	59	10	70	8	67	8	21	50	10	61	66	10	60	10	70	88	10	10	10	87	55
F42E0	1000160	60	10	60	10	70	10	80	13	21	50	9.5	73.5	70	10	60	10	80	80	10	12	10	67	55
F42E1	1000161	60	10	60	10	70	12	80	12	21	50	11	61.5	70	9	60	8	80	87	10	10	10	84	38
F42E2	1000162	60	10	60	10	70	10	80	13	21	50	10	73	70	10	60	10	80	84.5	10	10	10	75.5	49
F42E3	1000163	60	10	60	10	70	11	80	12	21	50	11.5	61	70	8	60	10	80	64	10	10	10	62.5	12.5
